From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	WormBase
Q20902	Q20902	unreviewed	Q20902_CAEEL	Uncharacterized protein	CELE_F56H11.2 F56H11.2	Caenorhabditis elegans	183	F56H11.2a;
Q20904	Q20904	unreviewed	Q20904_CAEEL	Elongation of very long chain fatty acids protein (EC 2.3.1.199) (Very-long-chain 3-oxoacyl-CoA synthase)	elo-7 CELE_F56H11.3 F56H11.3	Caenorhabditis elegans	309	F56H11.3;
Q20908	Q20908	unreviewed	Q20908_CAEEL	7TM_GPCR_Srx domain-containing protein	srx-113 CELE_F56H9.1 F56H9.1	Caenorhabditis elegans	319	F56H9.1;
Q20909	Q20909	unreviewed	Q20909_CAEEL	Uncharacterized protein	CELE_F56H9.2 F56H9.2	Caenorhabditis elegans	57	F56H9.2a;
Q20914	Q20914	unreviewed	Q20914_CAEEL	Seven TM Receptor	str-118 CELE_F57A8.3 F57A8.3	Caenorhabditis elegans	364	F57A8.3a;
Q20915	Q20915	unreviewed	Q20915_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	CELE_F57A8.4 F57A8.4	Caenorhabditis elegans	396	F57A8.4;
Q20923	Q20923	unreviewed	Q20923_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	CELE_F57B1.1 F57B1.1	Caenorhabditis elegans	363	F57B1.1;
Q20925	Q20925	unreviewed	Q20925_CAEEL	MARVEL domain-containing protein	CELE_F57B1.5 F57B1.5	Caenorhabditis elegans	157	F57B1.5;
Q20940	Q20940	unreviewed	Q20940_CAEEL	RING-type domain-containing protein	CELE_F57C12.2 F57C12.2	Caenorhabditis elegans	281	F57C12.2;
Q20941	Q20941	unreviewed	Q20941_CAEEL	BHLH domain-containing protein	hlh-19 CELE_F57C12.3 F57C12.3	Caenorhabditis elegans	111	F57C12.3;
Q20951	Q20951	unreviewed	Q20951_CAEEL	Uncharacterized protein	CELE_F57F5.3 F57F5.3	Caenorhabditis elegans	257	F57F5.3;
Q20957	Q20957	unreviewed	Q20957_CAEEL	Uncharacterized protein	CELE_F58A6.2 F58A6.2	Caenorhabditis elegans	199	F58A6.2;
Q20960	Q20960	unreviewed	Q20960_CAEEL	Uncharacterized protein	CELE_F58A6.5 F58A6.5	Caenorhabditis elegans	298	F58A6.5;
Q20961	Q20961	reviewed	SRB16_CAEEL	Serpentine receptor class beta-16 (Protein srb-16)	srb-16 F58A6.6	Caenorhabditis elegans	342	F58A6.6;
Q20963	Q20963	reviewed	SRB13_CAEEL	Serpentine receptor class beta-13 (Protein srb-13)	srb-13 F58A6.11	Caenorhabditis elegans	345	F58A6.11;
Q20973	Q20973	unreviewed	Q20973_CAEEL	Uncharacterized protein	CELE_F58B4.3 F58B4.3	Caenorhabditis elegans	125	F58B4.3a;
Q20980	Q20980	unreviewed	Q20980_CAEEL	Uncharacterized protein	CELE_F58E6.4 F58E6.4	Caenorhabditis elegans	130	F58E6.4;
Q20983	Q20983	unreviewed	Q20983_CAEEL	Heme Responsive protein	hrg-3 CELE_F58E6.7 F58E6.7	Caenorhabditis elegans	70	F58E6.7;
Q21004	Q21004	unreviewed	Q21004_CAEEL	AMPHiphysin homolog	amph-1 CELE_F58G6.1 F58G6.1	Caenorhabditis elegans	461	F58G6.1;
Q21008	Q21008	unreviewed	Q21008_CAEEL	Serpentine Receptor, class M	srm-3 CELE_F58G6.2 F58G6.2	Caenorhabditis elegans	301	F58G6.2a;
Q21009	Q21009	unreviewed	Q21009_CAEEL	Copper transport protein	CELE_F58G6.3 F58G6.3	Caenorhabditis elegans	134	F58G6.3;
Q21019	Q21019	unreviewed	Q21019_CAEEL	Uncharacterized protein	CELE_F59A2.5 F59A2.5	Caenorhabditis elegans	123	F59A2.5;
Q21028	Q21028	unreviewed	Q21028_CAEEL	Uncharacterized protein	CELE_F59A6.2 F59A6.2	Caenorhabditis elegans	118	F59A6.2;
Q21047	Q21047	unreviewed	Q21047_CAEEL	Col_cuticle_N domain-containing protein	CELE_F59F5.4 F59F5.4	Caenorhabditis elegans	93	F59F5.4;
Q21065	Q21065	reviewed	IFA3_CAEEL	Intermediate filament protein ifa-3 (Cel IF A3) (Intermediate filament protein A3) (IF-A3)	ifa-3 F52E10.5	Caenorhabditis elegans	581	F52E10.5;
Q21067	Q21067	reviewed	IFC2_CAEEL	Intermediate filament protein ifc-2 (Cel IF C2) (Intermediate filament protein C2) (IF-C2)	ifc-2 M6.1	Caenorhabditis elegans	622	M6.1a;M6.1b;
Q21132	Q21132	unreviewed	Q21132_CAEEL	Uncharacterized protein	CELE_K02E10.5 K02E10.5	Caenorhabditis elegans	132	K02E10.5;
Q21142	Q21142	unreviewed	Q21142_CAEEL	Serpentine Receptor, class E (Epsilon)	sre-7 CELE_K02E11.2 K02E11.2	Caenorhabditis elegans	339	K02E11.2;
Q21154	Q21154	reviewed	MOMA1_CAEEL	MICOS complex subunit MIC27 (Mitochondrial outer membrane abnormal protein 1)	moma-1 K02F3.10	Caenorhabditis elegans	201	K02F3.10;
Q21156	Q21156	reviewed	FLP11_CAEEL	FMRFamide-like neuropeptides 11 [Cleaved into: AMRNALVRF-amide; ASGGMRNALVRF-amide; SPLDEEDFAPESPLQ-amide; NGAPQPFVRF-amide]	flp-11 K02G10.4	Caenorhabditis elegans	110	K02G10.4a [Q21156-1];K02G10.4b [Q21156-2];K02G10.4c [Q21156-3];
Q21168	Q21168	unreviewed	Q21168_CAEEL	ComPleXin (Synaptic protein) homolog	cpx-2 CELE_K03A11.2 K03A11.2	Caenorhabditis elegans	87	K03A11.2;
Q21170	Q21170	unreviewed	Q21170_CAEEL	7TM_GPCR_Srx domain-containing protein	srx-77 CELE_K03B4.5 K03B4.5	Caenorhabditis elegans	313	K03B4.5;
Q21171	Q21171	unreviewed	Q21171_CAEEL	Neuropeptide-Like Protein	CELE_K03B4.4 K03B4.4	Caenorhabditis elegans	87	K03B4.4a;
Q21177	Q21177	unreviewed	Q21177_CAEEL	Uncharacterized protein	CELE_K03B8.4 K03B8.4	Caenorhabditis elegans	96	K03B8.4;
Q21194	Q21194	reviewed	REI2_CAEEL	Guanine nucleotide exchange factor rei-2	rei-2 K03E6.7	Caenorhabditis elegans	431	K03E6.7;
Q21211	Q21211	unreviewed	Q21211_CAEEL	INSulin related	CELE_K04C2.5 K04C2.5	Caenorhabditis elegans	108	K04C2.5;
Q21228	Q21228	unreviewed	Q21228_CAEEL	MARVEL domain-containing protein	CELE_K04G2.9 K04G2.9	Caenorhabditis elegans	208	K04G2.9;
Q21229	Q21229	unreviewed	Q21229_CAEEL	Uncharacterized protein	CELE_K04G2.10 K04G2.10	Caenorhabditis elegans	224	K04G2.10;
Q21254	Q21254	unreviewed	Q21254_CAEEL	Sugar transporter SWEET	swt-5 CELE_K06A4.4 K06A4.4	Caenorhabditis elegans	239	K06A4.4;
Q21255	Q21255	unreviewed	Q21255_CAEEL	Uncharacterized protein	CELE_K06A4.6 K06A4.6	Caenorhabditis elegans	64	K06A4.6;
Q21270	Q21270	reviewed	COG6_CAEEL	Conserved oligomeric Golgi complex subunit 6 (COG complex subunit 6) (Component of oligomeric Golgi complex 6)	cogc-6 K07C11.9	Caenorhabditis elegans	642	K07C11.9;
Q21283	Q21283	unreviewed	Q21283_CAEEL	Uncharacterized protein	CELE_K07E12.2 K07E12.2	Caenorhabditis elegans	120	K07E12.2;
Q21304	Q21304	unreviewed	Q21304_CAEEL	ZT_dimer domain-containing protein	CELE_K07G5.5 K07G5.5	Caenorhabditis elegans	348	K07G5.5;
Q21309	Q21309	unreviewed	Q21309_CAEEL	Uncharacterized protein	CELE_K08B5.1 K08B5.1	Caenorhabditis elegans	373	K08B5.1;
Q21312	Q21312	unreviewed	Q21312_CAEEL	MFS domain-containing protein	CELE_K08C7.1 K08C7.1	Caenorhabditis elegans	431	K08C7.1;
Q21326	Q21326	unreviewed	Q21326_CAEEL	Uncharacterized protein	CELE_K08D10.11 K08D10.11	Caenorhabditis elegans	65	K08D10.11;
Q21331	Q21331	unreviewed	Q21331_CAEEL	Uncharacterized protein	CELE_K08D8.1 K08D8.1	Caenorhabditis elegans	86	K08D8.1;
Q21345	Q21345	unreviewed	Q21345_CAEEL	Uncharacterized protein	CELE_K08E7.6 K08E7.6	Caenorhabditis elegans	315	K08E7.6;
Q21366	Q21366	unreviewed	Q21366_CAEEL	Uncharacterized protein	CELE_K08H2.2 K08H2.2	Caenorhabditis elegans	200	K08H2.2;
Q21368	Q21368	unreviewed	Q21368_CAEEL	Uncharacterized protein	CELE_K08H2.3 K08H2.3	Caenorhabditis elegans	267	K08H2.3;
Q21384	Q21384	unreviewed	Q21384_CAEEL	MFS domain-containing protein	CELE_K09C4.2 K09C4.2	Caenorhabditis elegans	152	K09C4.2;
Q21443	Q21443	reviewed	LMN1_CAEEL	Lamin-1 (Ce-lamin) (CeLam-1)	lmn-1 lam-1 DY3.2	Caenorhabditis elegans	566	DY3.2;
Q21444	Q21444	reviewed	COG2_CAEEL	Conserved oligomeric Golgi complex subunit 2 (COG complex subunit 2) (Component of oligomeric Golgi complex 2) (LDLC protein homolog)	cogc-2 cgo-2 cog-2 ldlc C06G3.10	Caenorhabditis elegans	681	C06G3.10;
Q21459	Q21459	unreviewed	Q21459_CAEEL	Uncharacterized protein	CELE_M02A10.1 M02A10.1	Caenorhabditis elegans	130	M02A10.1;
Q21462	Q21462	unreviewed	Q21462_CAEEL	WW domain-containing protein	CELE_M02D8.2 M02D8.2	Caenorhabditis elegans	127	M02D8.2;
Q21499	Q21499	unreviewed	Q21499_CAEEL	Golgi SNAP receptor complex member 2	memb-2 CELE_M03E7.5 M03E7.5	Caenorhabditis elegans	216	M03E7.5;
Q21509	Q21509	unreviewed	Q21509_CAEEL	RDD domain-containing protein	CELE_M04D8.4 M04D8.4	Caenorhabditis elegans	188	M04D8.4;
Q21510	Q21510	unreviewed	Q21510_CAEEL	Serpentine Receptor, class H	CELE_M04D8.5 M04D8.5	Caenorhabditis elegans	189	M04D8.5;
Q21511	Q21511	unreviewed	Q21511_CAEEL	X-BoX promoter element regulated	xbx-3 CELE_M04D8.6 M04D8.6	Caenorhabditis elegans	200	M04D8.6;
Q21512	Q21512	unreviewed	Q21512_CAEEL	Uncharacterized protein	CELE_M04D8.7 M04D8.7	Caenorhabditis elegans	170	M04D8.7;
Q21516	Q21516	unreviewed	Q21516_CAEEL	Uncharacterized protein	let-522 CELE_M05B5.2 M05B5.2	Caenorhabditis elegans	128	M05B5.2;
Q21529	Q21529	unreviewed	Q21529_CAEEL	TWiK family of potassium channels	twk-3 CELE_M110.2 M110.2	Caenorhabditis elegans	383	M110.2;
Q21539	Q21539	unreviewed	Q21539_CAEEL	14_3_3 domain-containing protein	CELE_M117.3 M117.3	Caenorhabditis elegans	125	M117.3;
Q21548	Q21548	unreviewed	Q21548_CAEEL	Uncharacterized protein	CELE_M176.5 M176.5	Caenorhabditis elegans	211	M176.5;
Q21552	Q21552	unreviewed	Q21552_CAEEL	Lysoplasmalogenase-like protein TMEM86A	CELE_M176.4 M176.4	Caenorhabditis elegans	236	M176.4;
Q21641	Q21641	unreviewed	Q21641_CAEEL	Tektin	CELE_R02E12.4 R02E12.4	Caenorhabditis elegans	400	R02E12.4;
Q21642	Q21642	reviewed	HRG1_CAEEL	Heme transporter hrg-1 (Heme-responsive gene 1 protein) (CeHRG-1)	hrg-1 R02E12.6	Caenorhabditis elegans	194	R02E12.6;
Q21655	Q21655	unreviewed	Q21655_CAEEL	BLOC-1-related complex subunit 7	blos-8 CELE_R03A10.1 R03A10.1	Caenorhabditis elegans	126	R03A10.1;
Q21656	Q21656	unreviewed	Q21656_CAEEL	FMRF-Like Peptide	flp-32 CELE_R03A10.2 R03A10.2	Caenorhabditis elegans	81	R03A10.2;
Q21684	Q21684	unreviewed	Q21684_CAEEL	7TM_GPCR_Srx domain-containing protein	srx-3 CELE_R03H4.3 R03H4.3	Caenorhabditis elegans	349	R03H4.3;
Q21685	Q21685	unreviewed	Q21685_CAEEL	7TM_GPCR_Srx domain-containing protein	srx-2 CELE_R03H4.2 R03H4.2	Caenorhabditis elegans	335	R03H4.2;
Q21686	Q21686	unreviewed	Q21686_CAEEL	Serpentine Receptor, class T	srt-18 CELE_R03H4.4 R03H4.4	Caenorhabditis elegans	337	R03H4.4;
Q21699	Q21699	unreviewed	Q21699_CAEEL	Uncharacterized protein	CELE_R04B5.1 R04B5.1	Caenorhabditis elegans	86	R04B5.1;
Q21705	Q21705	unreviewed	Q21705_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	srd-49 CELE_R04B5.8 R04B5.8	Caenorhabditis elegans	337	R04B5.8;
Q21708	Q21708	unreviewed	Q21708_CAEEL	Uncharacterized protein	CELE_R04B5.11 R04B5.11	Caenorhabditis elegans	87	R04B5.11;
Q21714	Q21714	unreviewed	Q21714_CAEEL	Serpentine Receptor, class D (Delta)	srd-36 CELE_R04D3.6 R04D3.6	Caenorhabditis elegans	322	R04D3.6;
Q21715	Q21715	unreviewed	Q21715_CAEEL	Serpentine Receptor, class D (Delta)	srd-42 CELE_R04D3.7 R04D3.7	Caenorhabditis elegans	320	R04D3.7;
Q21716	Q21716	unreviewed	Q21716_CAEEL	Serpentine Receptor, class D (Delta)	srd-39 CELE_R04D3.8 R04D3.8	Caenorhabditis elegans	324	R04D3.8;
Q21717	Q21717	unreviewed	Q21717_CAEEL	Serpentine Receptor, class D (Delta)	srd-43 CELE_R04D3.9 R04D3.9	Caenorhabditis elegans	320	R04D3.9;
Q21732	Q21732	unreviewed	Q21732_CAEEL	ATP synthase subunit e, mitochondrial	CELE_R04F11.2 R04F11.2	Caenorhabditis elegans	107	R04F11.2;
Q21737	Q21737	unreviewed	Q21737_CAEEL	Transmembrane protein 208	tmem-208 CELE_R05D11.5 R05D11.5	Caenorhabditis elegans	169	R05D11.5;
Q21741	Q21741	unreviewed	Q21741_CAEEL	Uncharacterized protein	CELE_R05F9.7 R05F9.7	Caenorhabditis elegans	357	R05F9.7;
Q21780	Q21780	unreviewed	Q21780_CAEEL	Uncharacterized protein	CELE_R07A4.2 R07A4.2	Caenorhabditis elegans	157	R07A4.2;
Q21784	Q21784	unreviewed	Q21784_CAEEL	Serpentine Receptor, class U	sru-40 CELE_R07B5.3 R07B5.3	Caenorhabditis elegans	326	R07B5.3a;
Q21785	Q21785	unreviewed	Q21785_CAEEL	Serpentine Receptor, class U	sru-38 CELE_R07B5.4 R07B5.4	Caenorhabditis elegans	322	R07B5.4;
Q21786	Q21786	unreviewed	Q21786_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	srsx-21 CELE_R07B5.5 R07B5.5	Caenorhabditis elegans	310	R07B5.5;
Q21787	Q21787	unreviewed	Q21787_CAEEL	Serpentine Receptor, class U	sru-36 CELE_R07B5.6 R07B5.6	Caenorhabditis elegans	328	R07B5.6a;
Q21788	Q21788	unreviewed	Q21788_CAEEL	Serpentine Receptor, class U	sru-8 CELE_R07B5.7 R07B5.7	Caenorhabditis elegans	351	R07B5.7;
Q21800	Q21800	unreviewed	Q21800_CAEEL	SLC (SoLute Carrier) homolog	CELE_R07B7.10 R07B7.10	Caenorhabditis elegans	285	R07B7.10;
Q21821	Q21821	unreviewed	Q21821_CAEEL	Uncharacterized protein	CELE_R07E5.7 R07E5.7	Caenorhabditis elegans	191	R07E5.7;
Q21823	Q21823	unreviewed	Q21823_CAEEL	Uncharacterized protein	CELE_R07E5.6 R07E5.6	Caenorhabditis elegans	443	R07E5.6;
Q21828	Q21828	reviewed	MPC1_CAEEL	Probable mitochondrial pyruvate carrier 1 (MPC1)	mpc-1 R07E5.13	Caenorhabditis elegans	137	R07E5.13;
Q21838	Q21838	unreviewed	Q21838_CAEEL	Seven TM Receptor	str-185 CELE_R08C7.7 R08C7.7	Caenorhabditis elegans	356	R08C7.7;
Q21845	Q21845	unreviewed	Q21845_CAEEL	Uncharacterized protein	CELE_R08C7.1 R08C7.1	Caenorhabditis elegans	47	R08C7.1;
Q21846	Q21846	unreviewed	Q21846_CAEEL	Uncharacterized protein	CELE_R08C7.11 R08C7.11	Caenorhabditis elegans	54	R08C7.11;
Q21856	Q21856	unreviewed	Q21856_CAEEL	Uncharacterized protein	CELE_R09A8.5 R09A8.5	Caenorhabditis elegans	208	R09A8.5;
Q21892	Q21892	unreviewed	Q21892_CAEEL	MARVEL domain-containing protein	CELE_R102.6 R102.6	Caenorhabditis elegans	228	R102.6;
Q21898	Q21898	reviewed	VATL1_CAEEL	V-type proton ATPase 16 kDa proteolipid subunit c 1 (V-ATPase 16 kDa proteolipid subunit c 1) (Vacuolar proton pump 16 kDa proteolipid subunit c 1)	vha-1 R10E11.8	Caenorhabditis elegans	169	R10E11.8;
Q21905	Q21905	unreviewed	Q21905_CAEEL	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase (EC 4.2.1.134)	CELE_R10E4.9 R10E4.9	Caenorhabditis elegans	202	R10E4.9;
Q21936	Q21936	unreviewed	Q21936_CAEEL	Seven TM Receptor	str-178 CELE_R11D1.5 R11D1.5	Caenorhabditis elegans	351	R11D1.5;
Q21937	Q21937	unreviewed	Q21937_CAEEL	Seven TM Receptor	str-181 CELE_R11D1.6 R11D1.6	Caenorhabditis elegans	346	R11D1.6;
Q21952	Q21952	reviewed	NUF2_CAEEL	Kinetochore protein Nuf2 homolog (CeNuf2) (Kinetochore protein him-10) (Protein high incidence of males 10)	him-10 R12B2.4	Caenorhabditis elegans	490	R12B2.4;
Q21954	Q21954	unreviewed	Q21954_CAEEL	Uncharacterized protein	CELE_R12B2.2 R12B2.2	Caenorhabditis elegans	281	R12B2.2;
Q21956	Q21956	unreviewed	Q21956_CAEEL	Uncharacterized protein	CELE_R12C12.9 R12C12.9	Caenorhabditis elegans	250	R12C12.9a;
Q21957	Q21957	unreviewed	Q21957_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	frpr-16 CELE_R12C12.3 R12C12.3	Caenorhabditis elegans	340	R12C12.3;
Q21959	Q21959	unreviewed	Q21959_CAEEL	Uncharacterized protein	CELE_R12C12.5 R12C12.5	Caenorhabditis elegans	236	R12C12.5;
Q21991	Q21991	unreviewed	Q21991_CAEEL	7TM_GPCR_Srx domain-containing protein	srx-20 CELE_R13H7.1 R13H7.1	Caenorhabditis elegans	286	R13H7.1;
Q21993	Q21993	reviewed	PFD5_CAEEL	Probable prefoldin subunit 5	pfd-5 R151.9	Caenorhabditis elegans	152	R151.9;
Q22011	Q22011	unreviewed	Q22011_CAEEL	Serpentine Receptor, class D (Delta)	srd-35 CELE_R186.2 R186.2	Caenorhabditis elegans	336	R186.2a;
Q22055	Q22055	unreviewed	Q22055_CAEEL	RING-type domain-containing protein	CELE_T01C3.3 T01C3.3	Caenorhabditis elegans	230	T01C3.3;
Q22117	Q22117	unreviewed	Q22117_CAEEL	Uncharacterized protein	CELE_T03F7.5 T03F7.5	Caenorhabditis elegans	312	T03F7.5;
Q22118	Q22118	unreviewed	Q22118_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	CELE_T03F7.6 T03F7.6	Caenorhabditis elegans	316	T03F7.6;
Q22124	Q22124	unreviewed	Q22124_CAEEL	Serpentine Receptor, class U	sru-48 CELE_T03G11.2 T03G11.2	Caenorhabditis elegans	331	T03G11.2;
Q22138	Q22138	unreviewed	Q22138_CAEEL	J domain-containing protein	dnj-18 CELE_T04A8.9 T04A8.9	Caenorhabditis elegans	249	T04A8.9;
Q22141	Q22141	reviewed	PGAP2_CAEEL	Post-GPI attachment to proteins factor 2	pgap-2 tag-189 T04A8.12	Caenorhabditis elegans	263	T04A8.12;
Q22142	Q22142	unreviewed	Q22142_CAEEL	Uncharacterized protein	CELE_T04A8.13 T04A8.13	Caenorhabditis elegans	231	T04A8.13;
Q22148	Q22148	unreviewed	Q22148_CAEEL	Serpentine Receptor, class V	srv-12 CELE_T04B2.4 T04B2.4	Caenorhabditis elegans	344	T04B2.4;
Q22154	Q22154	unreviewed	Q22154_CAEEL	Uncharacterized protein	CELE_T04C10.3 T04C10.3	Caenorhabditis elegans	373	T04C10.3;
Q22191	Q22191	unreviewed	Q22191_CAEEL	CLaudin-like in Caenorhabditis	clc-4 CELE_T05A10.2 T05A10.2	Caenorhabditis elegans	194	T05A10.2;
Q22192	Q22192	unreviewed	Q22192_CAEEL	TransThyretin-Related family domain	ttr-14 CELE_T05A10.3 T05A10.3	Caenorhabditis elegans	406	T05A10.3;
Q22209	Q22209	unreviewed	Q22209_CAEEL	Serpentine Receptor, class E (Epsilon)	sre-40 CELE_T05A7.8 T05A7.8	Caenorhabditis elegans	363	T05A7.8;
Q22211	Q22211	unreviewed	Q22211_CAEEL	Serpentine Receptor, class R	srr-9 CELE_T05B11.2 T05B11.2	Caenorhabditis elegans	388	T05B11.2;
Q22215	Q22215	unreviewed	Q22215_CAEEL	Nuclear receptor domain-containing protein	CELE_T05B9.1 T05B9.1	Caenorhabditis elegans	262	T05B9.1;
Q22219	Q22219	unreviewed	Q22219_CAEEL	Uncharacterized protein	CELE_T05C1.3 T05C1.3	Caenorhabditis elegans	233	T05C1.3;
Q22226	Q22226	unreviewed	Q22226_CAEEL	DYnein Light chain (Tctex type)	dylt-3 CELE_T05C12.5 T05C12.5	Caenorhabditis elegans	148	T05C12.5;
Q22231	Q22231	unreviewed	Q22231_CAEEL	Uncharacterized protein	CELE_T05C12.9 T05C12.9	Caenorhabditis elegans	294	T05C12.9;
Q22246	Q22246	unreviewed	Q22246_CAEEL	Serpentine Receptor, class T	srt-73 CELE_T06C10.2 T06C10.2	Caenorhabditis elegans	329	T06C10.2;
Q22251	Q22251	unreviewed	Q22251_CAEEL	Cytochrome OXidase assembly protein	cox-15 CELE_T06D8.5 T06D8.5	Caenorhabditis elegans	395	T06D8.5;
Q22252	Q22252	reviewed	FNDC1_CAEEL	FUN14 domain-containing protein fndc-1	fndc-1 T06D8.7	Caenorhabditis elegans	138	T06D8.7;
Q22261	Q22261	unreviewed	Q22261_CAEEL	Uncharacterized protein	CELE_T06E4.7 T06E4.7	Caenorhabditis elegans	368	T06E4.7;
Q22283	Q22283	unreviewed	Q22283_CAEEL	Serpentine Receptor, class J	srj-33 CELE_T07C12.1 T07C12.1	Caenorhabditis elegans	324	T07C12.1;
Q22284	Q22284	unreviewed	Q22284_CAEEL	Serpentine Receptor, class E (Epsilon)	sre-28 CELE_T07C12.6 T07C12.6	Caenorhabditis elegans	360	T07C12.6;
Q22303	Q22303	unreviewed	Q22303_CAEEL	Uncharacterized protein	CELE_T07D1.3 T07D1.3	Caenorhabditis elegans	144	T07D1.3;
Q22336	Q22336	unreviewed	Q22336_CAEEL	Saposin B-type domain-containing protein	spp-3 CELE_T08A9.7 T08A9.7	Caenorhabditis elegans	100	T08A9.7;
Q22338	Q22338	unreviewed	Q22338_CAEEL	Saposin B-type domain-containing protein	spp-4 CELE_T08A9.8 T08A9.8	Caenorhabditis elegans	103	T08A9.8;
Q22339	Q22339	unreviewed	Q22339_CAEEL	Uncharacterized protein	CELE_T08A9.13 T08A9.13	Caenorhabditis elegans	120	T08A9.13;
Q22358	Q22358	unreviewed	Q22358_CAEEL	Serpentine Receptor, class I	sri-6 CELE_T09E8.5 T09E8.5	Caenorhabditis elegans	344	T09E8.5a;
Q22361	Q22361	reviewed	CNI1_CAEEL	Protein cornichon homolog 1	cni-1 cnih-2 T09E8.3	Caenorhabditis elegans	145	T09E8.3;
Q22362	Q22362	unreviewed	Q22362_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	CELE_T09E8.4 T09E8.4	Caenorhabditis elegans	347	T09E8.4;
Q22382	Q22382	unreviewed	Q22382_CAEEL	Serpentine Receptor, class AB (Class A-like)	srab-17 CELE_T11A5.2 T11A5.2	Caenorhabditis elegans	329	T11A5.2;
Q22383	Q22383	unreviewed	Q22383_CAEEL	Serpentine Receptor, class AB (Class A-like)	srab-18 CELE_T11A5.3 T11A5.3	Caenorhabditis elegans	330	T11A5.3;
Q22387	Q22387	unreviewed	Q22387_CAEEL	Uncharacterized protein	CELE_T11B7.1 T11B7.1	Caenorhabditis elegans	445	T11B7.1;
Q22388	Q22388	unreviewed	Q22388_CAEEL	Uncharacterized protein	CELE_T11B7.2 T11B7.2	Caenorhabditis elegans	94	T11B7.2a;
Q22395	Q22395	unreviewed	Q22395_CAEEL	Zrt (ZRT), Irt- (IRT-) like Protein Transporter	zipt-16 tag-140 CELE_T11F9.2 T11F9.2	Caenorhabditis elegans	512	T11F9.2b;
Q22417	Q22417	unreviewed	Q22417_CAEEL	Pre-mRNA-splicing factor SPF27	bcas-2 CELE_T12A2.7 T12A2.7	Caenorhabditis elegans	238	T12A2.7;
Q22441	Q22441	unreviewed	Q22441_CAEEL	RING-type domain-containing protein	CELE_T13A10.2 T13A10.2	Caenorhabditis elegans	161	T13A10.2;
Q22444	Q22444	unreviewed	Q22444_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	srv-29 CELE_T13A10.6 T13A10.6	Caenorhabditis elegans	316	T13A10.6;
Q22445	Q22445	unreviewed	Q22445_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	srv-30 CELE_T13A10.7 T13A10.7	Caenorhabditis elegans	326	T13A10.7;
Q22446	Q22446	unreviewed	Q22446_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	srv-31 CELE_T13A10.9 T13A10.9	Caenorhabditis elegans	324	T13A10.9;
Q22450	Q22450	unreviewed	Q22450_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	srv-32 CELE_T13A10.12 T13A10.12	Caenorhabditis elegans	342	T13A10.12;
Q22451	Q22451	unreviewed	Q22451_CAEEL	G_PROTEIN_RECEP_F1_2 domain-containing protein	ops-1 CELE_T13A10.13 T13A10.13	Caenorhabditis elegans	341	T13A10.13;
Q22505	Q22505	reviewed	IMMT1_CAEEL	MICOS complex subunit MIC60-1 (Inner mitochondrial membrane protein 1) (Mitofilin homolog 1)	immt-1 T14G11.3	Caenorhabditis elegans	679	T14G11.3;
Q22521	Q22521	unreviewed	Q22521_CAEEL	Seven TM Receptor	str-230 CELE_T16A9.2 T16A9.2	Caenorhabditis elegans	349	T16A9.2;
Q22526	Q22526	unreviewed	Q22526_CAEEL	DUF19 domain-containing protein	CELE_T16D1.1 T16D1.1	Caenorhabditis elegans	92	T16D1.1;
Q22527	Q22527	unreviewed	Q22527_CAEEL	Uncharacterized protein	CELE_T16G12.4 T16G12.4	Caenorhabditis elegans	213	T16G12.4;
Q22542	Q22542	unreviewed	Q22542_CAEEL	Uncharacterized protein	CELE_T18D3.5 T18D3.5	Caenorhabditis elegans	131	T18D3.5;
Q22544	Q22544	reviewed	TSCT1_CAEEL	Protein tsct-1	tsct-1 txt-21 T18D3.7	Caenorhabditis elegans	269	T18D3.7a [Q22544-1];T18D3.7b [Q22544-2];T18D3.7c [Q22544-3];
Q22547	Q22547	unreviewed	Q22547_CAEEL	Seven TM Receptor	str-177 CELE_T18H9.4 T18H9.4	Caenorhabditis elegans	347	T18H9.4;
Q22568	Q22568	unreviewed	Q22568_CAEEL	Serpentine receptor class gamma	srg-41 CELE_T19C4.3 T19C4.3	Caenorhabditis elegans	301	T19C4.3;
Q22569	Q22569	unreviewed	Q22569_CAEEL	Serpentine receptor class gamma	srg-39 CELE_T19C4.2 T19C4.2	Caenorhabditis elegans	313	T19C4.2;
Q22572	Q22572	unreviewed	Q22572_CAEEL	Serpentine receptor class gamma	srg-40 CELE_T19C4.4 T19C4.4	Caenorhabditis elegans	304	T19C4.4;
Q22576	Q22576	unreviewed	Q22576_CAEEL	Serpentine Receptor, class A (Alpha)	sra-26 CELE_T19D12.8 T19D12.8	Caenorhabditis elegans	338	T19D12.8;
